"SITE_ID","LAT_DD83","LON_DD83","XCOORD","YCOORD","AG_ECO3_NM","AG_ECO9_NM","MISS_BASIN_NM","MAJ_BAS_NM","FS_EW","EPA_REG","STRAH_CAT","NARS_OWN","NRS13_EVAL","NRS13_MDC","NRS13_PNL","NRS13_SF","NRS13_STRA","NRS13_TNT","NRS13_URBN","NRS13_VST","NRS13_WGTD","WGT13_ALL","WGT13_CAT","ANC_COND","ANC","DOC","PH","SAL_COND","COND","NTL_COND","NTL_UG_L","PTL_COND","PTL","BENT_MMI_COND","MMI_BENT","OE_SCORE","OE_COND","INSTRMCVR_COND","L_XFC_NAT","BEDSED_COND","LRBS_USE","RIPDIST_COND","W1_HALL","RIPVEG_COND","L_XCMGW","FISH_MMI_COND","MMI_FISH","ENT_1X_CCE_100ML","ENT_1X_STV_COND","MICX_COND","MICX_RESULT","MICX_MDL","MICX_RL","MICX_FLAG","HG_COND","MERCURY_RESULT","MERCURY_MDL","MERCURY_RL","MERCURY_FLAG","PUBLICATION_DATE"
"CAS9-0915","40.80247233","-122.93001627","-2223377.392","687234.718","West","Western Mountains",NA,"California Region","West","Region_9","SmallStreams","USFS","Target_Sampled","CA_Streams_CA_1st","Base_09Stream_RVT","Include","CA","Target","NonUrban","1","1","1990.79343","CA_SmallStreams","None","1130","0.5","8.02","Good","95","Good",20.8,"Good","5.8","Fair","41.62","0.83523775601280481","O/E<0.9","Poor","-0.727525465","Good","-1.109105643","Low","0","Good","-0.001087096","Poor","0","67.9077870886405","Below Human Health Threshold","<= 10 ug/L","0.253",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"CAS9-0930","39.2998874","-120.96950119","-2109134.683","480422.406","West","Western Mountains",NA,"California Region",NA,"Region_9","SmallStreams","Private","Target_Sampled","CA_Streams_CA_2nd","Base_09Stream","Include","CA","Target","NonUrban","1","1","917.72012","CA_SmallStreams","None","360","0.5","7.13","Good","39","Good",54.7,"Good","10.9","Good","71.82","1.1667839924134091","O/E>=0.9","Fair","-0.577499695","Good","-0.690650835","Moderate","0.39395","Good","0.1081343287","Good","79.78","771.818693148147","Below Human Health Threshold","<= 10 ug/L","0.188",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"MIS9-0929","45.65369","-84.99924","855906.9","961212.2","Plains and Lowlands","Upper Midwest",NA,"Great Lakes Region",NA,"Region_5","SmallStreams","State","Target_Sampled","MI_Streams_MI_1st","Base_09Stream","Include","MI","Target","NonUrban","1","1","885.89123","MI_SmallStreams","None","2755.06","8.27","8.2","Good","266","Fair",856,"Fair","49","Fair","34.4","0.85275605795186715","O/E<0.9","Fair","-0.760359317","Fair","-1.127065839","Low","0","Fair","-0.22366209","Poor","15.5","810.488265567196","Below Human Health Threshold","<= 10 ug/L","3.855",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","91.4","1.96","10.9",NA,2017-10-12
"OKRO-1088","35.68552","-96.41488","-37218.56","-203179.8","Plains and Lowlands","Southern Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","RiversOther","Private","Target_Sampled","OK_RiversOther_FPFH","Base_NewRiversOther","Include","OK","Target","NonUrban","1","302.85509","605.71018","OK_RiversOther_FPFH","None","4462.33","5.21","8.3","Good","914","Fair",953,"Poor","223","Good","47.48","0.57897482049205262","O/E<0.8","Good","-0.570100974","Fair","-1.59733607","Low","0.227277272727273","Good","-0.008069472","Poor","39.41","675.460086454201","Below Human Health Threshold","<= 10 ug/L","0.165",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","98.2","2.43","13.4",NA,2017-10-12
"KSR9-0905","39.72624","-94.91122","92484.77","250045.8","Plains and Lowlands","Temporate Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","RiversMajor","Private","Target_Sampled","KS_Rivers_KS_7th+","Base_09River","Include","KS","Target","Urban","1","1","102.59101","KS_RiverStream","None","3835.87","3.76","8.52","Good","804","Poor",2775,"Poor","286","Good","63.93","0.52588812036577826","O/E<0.8","Poor","-1.190134333","Not Assessed",NA,"Moderate","1.40077272727273","Good","-0.1357317","Poor","9.55","820.696215623324","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","126","3.25","18",NA,2017-10-12
"CARM-1010","39.50076","-121.9976","-2187765","525373.8","West","Xeric",NA,"California Region",NA,"Region_9","RiversMajor","Private","Target_Sampled","CA_RiversMajor_XER","Base_NewRiversMajor","Include","CA","Target","NonUrban","1","416.14148","36.0845","CA_RiversMajor","None","1120","0.55","8.06","Good","119","Good",31.1,"Good","31.7","Poor","30.35","0.42501062637017828","OE<0.5","Good","-0.92412139","Good","0.370861513","Low","0.278513203463203","Good","-0.276283188","Not Assessed",NA,"182.75179144455","Below Human Health Threshold","<= 10 ug/L","0.132",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"NJLS-1041","39.87754","-75.13151","1754777","459915.3","Plains and Lowlands","Coastal Plains",NA,"Mid-Atlantic Region",NA,"Region_2","LargeStreams","Private","Target_Sampled","NJ_LargeStreams_CPL","Base_NewLargeStreams","Include","NJ","Target","Urban","1","1335.32876","388.80776","NJ_LargeStreams","None","643.7","4.22","7.16","Good","191.1","Fair",1054,"Poor","199","Poor","10.32","0.56110822084740442","O/E<0.8","Poor","-1.037071311","Not Assessed",NA,"High","2.56825909090909","Poor","-0.388421514","Poor","26.56","258.233281576389","Below Human Health Threshold","<= 10 ug/L","0.155",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","158","1.82","10.1",NA,2017-10-12
"CAS9-0916","39.4667372","-120.9644497","-2103861.992","498368.145","West","Western Mountains",NA,"California Region","West","Region_9","LargeStreams","USFS","Target_Sampled","CA_Streams_CA_3rd","Base_09Stream","Include","CA","Target","NonUrban","2","1","647.63087","CA_LargeStreams","None","700","0.5","6.84","Good","87","Good",20.8,"Good","4.8","Good","56.98","0.94146712894558693","O/E>=0.9","Good","-0.496085569","Good","0.450106853","Low","0.0909090909090909","Good","0.0187383143","Good","89.21","272.019209871156","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"DER9-0903","38.61816614","-75.63092164","1743457.27","312887.885","Plains and Lowlands","Coastal Plains",NA,"Mid-Atlantic Region",NA,"Region_3","RiversOther","Other Fed","Target_Sampled","DE_Rivers_DE_7th+","Base_09River_RVT","Include","DE","Target","Urban","2","1","17.37816","DE_RiversOther","None","306.14","8.88","6.85","Good","88.1","Poor",2011,"Poor","129","Poor","21.85","0.76317683395965197","O/E<0.8","Good","-0.396993176","Good","-1.005341131","High","1.57576363636364","Poor","-0.141845754","Not Assessed",NA,"1093.23037070332","Below Human Health Threshold","<= 10 ug/L","0.115",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","58.3","3.36","18.6",NA,2017-10-12
"WYS9-0931","42.13291","-106.0715","-825420.7","562772.4","West","Xeric","Lower Missouri Region","Missouri Region",NA,"Region_8","LargeStreams","State","Target_Sampled","WY_Streams_WY_4th","Base_09Stream","Include","WY","Target","NonUrban","1","1","936.40431","WY_LargeStreams","None","2463.23","3.75","8.46","Fair","824","Fair",434,"Fair","72","Fair","45.2","0.70444648114358599","O/E<0.8","Fair","-0.717110229","Fair","-1.866773302","High","1.5","Poor","-1.719173392","Fair","69.39","1786.49403964272","Above Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","296","2.39","13.2",NA,2017-10-12
"NYRO-1049","44.91335","-74.93946","1646952","1012534","Eastern Highlands","Northern Appalachians",NA,"Great Lakes Region",NA,"Region_2","RiversOther","Private","Target_Sampled","NY_RiversOther_NAP","Base_NewRiversOther","Include","NY","Target","Urban","1","252.05651","126.02826","NY_RiversOther","None","529.87","13.02","7.62","Good","75.9","Poor",629,"Poor","48","Poor","34.67","0.56121898304326301","O/E<0.8","Fair","-0.727525465","Fair","-1.985076892","Low","0.287890909090909","Fair","-0.095801018","Poor","15.89","276.850372129953","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","240","1.64","9.09",NA,2017-10-12
"LARO-1020","29.76361","-91.44424","440185.6","-853083.6","Plains and Lowlands","Coastal Plains","Lower Mississippi Region","Lower Mississippi Region",NA,"Region_6","RiversOther","Private","Target_Sampled","LA_RiversOther_CPL","Base_NewRiversOther","Include","LA","Target","Urban","1","1204.23165","451.58687","LA_RiversOther","None","1189.41","5.95","7.67","Good","159","Fair",649,"Poor","481","Poor","40.5","0.61503078790620125","O/E<0.8","Fair","-0.941022138","Not Assessed",NA,"Low","0.159095454545455","Fair","-0.130368316","Poor","32.67","45.3428263657415","Below Human Health Threshold","<= 10 ug/L","0.165",NA,NA,NA,"Exceeds 300 ng Hg/g ww","417","2.07","11.5",NA,2017-10-12
"KSR9-0908","39.25252","-96.3266","-27925.35","196474.4","Plains and Lowlands","Temporate Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","RiversOther","Private","Target_Sampled","KS_Rivers_KS_4th5th","Base_09River","Include","KS","Target","NonUrban","1","1","228.9522","KS_RiverStream","None","4317.21","2.16","8.48","Good","507","Good",353,"Fair","114","Good","50.08","1.2702645997766193","O/E>=0.9","Fair","-0.743632175","Poor","-1.828542003","Moderate","0.92425","Fair","-0.201914638","Fair","55.58","175.352995643722","Below Human Health Threshold","<= 10 ug/L","0.234",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"MNR9-0907","44.79956","-93.53312","194807.3","819153.2","Plains and Lowlands","Upper Midwest","Upper Mississippi Region","Upper Mississippi Region",NA,"Region_5","RiversMajor","State","Target_Sampled","MN_Rivers_MN_7th+","Base_09River","Include","MN","Target","Urban","1","1","67.86308","MN_RiversMajor","None","4338.34","7.6","8.36","Fair","770","Poor",6000,"Poor","402","Fair","36.12","0.42104581964251159","OE<0.5","Good","-0.720208659","Fair","-1.060222338","Moderate","0.474393073593074","Good","0.1217686899","Poor","10.36","277.193511974375","Below Human Health Threshold","<= 10 ug/L","0.384",NA,NA,NA,"Exceeds 300 ng Hg/g ww","379","1.61","8.93",NA,2017-10-12
"MNRM-1010","44.80982","-93.49899","197471.5","820365","Plains and Lowlands","Upper Midwest","Upper Mississippi Region","Upper Mississippi Region",NA,"Region_5","RiversMajor","Private","Target_Sampled","MN_RiversMajor_UMW","Base_NewRiversMajor","Include","MN","Target","Urban","1","167.75302","77.26544","MN_RiversMajor","None","4413.65","7.82","8.39","Fair","775","Poor",5900,"Poor","406","Good","49.88","0.84195870058832534","O/E<0.9","Good","-0.755835377","Fair","-1.30557926","Low","0.272731818181818","Good","0.0453229788","Poor","7.22","292.561507435538","Below Human Health Threshold","<= 10 ug/L","0.64",NA,NA,NA,"Exceeds 300 ng Hg/g ww","635","1.7","9.43",NA,2017-10-12
"SDR9-0901","45.65636","-100.8508","-378080.4","921565.2","Plains and Lowlands","Northern Plains","Upper Missouri Region","Missouri Region",NA,"Region_8","RiversMajor","Native American","Target_Sampled","SD_Rivers_SD_6th","Base_09River","Include","SD","Target","NonUrban","1","1","72.22409","SD_RiversMajor","None","4060.09","9.24","8.37","Good","854","Poor",1436,"Poor","278","Good","68.83","0.99562013629206336","O/E>=0.9","Fair","-1.106894235","Fair","-0.124855576","Moderate","1.47727272727273","Good","-1.026452336","Poor","0","207.295510365965","Below Human Health Threshold","<= 10 ug/L","0.108",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"OKRM-1006","36.58577","-97.0339","-91652.45","-101941.1","Plains and Lowlands","Southern Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","RiversMajor","Private","Target_Sampled","OK_RiversMajor_WPT","Base_NewRiversMajor","Include","OK","Target","NonUrban","1","345.72096","129.64536","OK_RiversMajor_WPT","None","2883.01","3.53","8.42","Fair","1015","Fair",1016,"Poor","176","Poor","4.65","0.72558844201243222","O/E<0.8","Good","-0.641718964","Fair","-1.306797966","Moderate","0.530309090909091","Good","0.0648832263","Fair","46.28","131.069076234922","Below Human Health Threshold","<= 10 ug/L","0.356",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","219","1.7","9.4",NA,2017-10-12
"OHS9-0916","41.79363","-80.82266","1246953","580823","Eastern Highlands","Northern Appalachians",NA,"Great Lakes Region",NA,"Region_5","SmallStreams","Private","Target_Sampled","OH_Streams_OH_2nd","Base_09Stream","Include","OH","Target","NonUrban","1","1","1166.39198","OH_SmallStreams","None","2049.1","15.07","7.84","Good","305","Poor",1284,"Poor","279","Poor","12.78","0.60168224542087667","O/E<0.8","Poor","-0.941022138","Poor","-2.309459266","Moderate","1.49247727272727","Poor","-0.188760227","Poor","19.62","569.354994587255","Below Human Health Threshold","<= 10 ug/L","0.126",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","125","1.86","10.3",NA,2017-10-12
"NVR9-0905","40.8147","-115.8061","-1645058","543503.5","West","Xeric",NA,"Great Basin Region",NA,"Region_9","RiversOther","Private","Target_Sampled","NV_Rivers_NV_7th+","Base_09River","Include","NV","Target","Urban","1","1","21.54261","NV_RiversOther","None","6359.69","4.3","8.68","Poor","1081","Poor",618,"Poor","198","Fair","45.02","0.47828759350986938","OE<0.5","Poor","-1.428608832","Fair","-1.260940976","Moderate","1.12125454545455","Fair","-0.624752178","Poor","49.77","1436.6479868753","Above Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"CARM-1011","40.47343","-122.3032","-2183045","637285.5","West","Xeric",NA,"California Region",NA,"Region_9","RiversMajor","Private","Target_Sampled","CA_RiversMajor_XER","Base_NewRiversMajor","Include","CA","Target","Urban","1","416.14148","36.0845","CA_RiversMajor","None","1080","0.54","7.98","Good","112","Good",75.1,"Good","26.5","Poor","35.82","0.43079217559208077","OE<0.5","Good","-0.528175086","Good","0.694361793","High","2.19700909090909","Good","-0.108918921","Not Assessed",NA,"162.446321117492","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"ORRM-1008","43.68129","-123.6684","-2190227","1013089","West","Western Mountains",NA,"Pacific Northwest Region",NA,"Region_10","RiversMajor","Private","Target_Sampled","OR_RiversMajor_WMT","Base_NewRiversMajor","Include","OR","Target","NonUrban","1","245.05481","89.54035","OR_RiversMajor","None","621.44","1.32","7.72","Good","78.5","Fair",178,"Poor","61","Poor","15.72","0.30395783350910871","OE<0.5","Good","-0.112740839","Good","2.76712051","High","1.53788181818182","Good","-0.018243151","Not Assessed",NA,"366.562532615767","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Exceeds 300 ng Hg/g ww","411","2.19","12.1",NA,2017-10-12
"TXS9-0937","33.48298","-97.17612","-108555.4","-448899.3","Plains and Lowlands","Southern Plains",NA,"Rio Grande-Texas-Gulf Region",NA,"Region_6","SmallStreams","Private","Target_Sampled","TX_Streams_TX_2nd","Base_09Stream","Include","TX","Target","NonUrban","1","1","340.44204","TX_SmallStreams","None","2986.06","7.31","8.08","Good","315","Poor",1398,"Poor","189","Fair","32.85","1.2257335800819931","O/E>=0.9","Good","-0.486903525","Good","0.670993337","Low","0.242436363636364","Good","-0.028660884","Poor","37.99","599.450562169423","Below Human Health Threshold","<= 10 ug/L","0.159",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","92.3","1.7","9.43",NA,2017-10-12
"NHRO-1033","43.25604","-71.6225","1947856","895800.7","Eastern Highlands","Northern Appalachians",NA,"New England Region",NA,"Region_1","RiversOther","Private","Target_Sampled","NH_RiversOther_NAP","Base_NewRiversOther","Include","NH","Target","Urban","1","201.1914","134.1276","NH_RiversOther","None","172.75","5.15","6.96","Good","68.5","Fair",401,"Poor","34","Poor","2.88","0.28086276863822013","OE<0.5","Good","-0.197226275","Good","-1.475736594","High","3.55312272727273","Poor","-0.280970201","Poor","28.51","302.325267708807","Below Human Health Threshold","<= 10 ug/L","0.147",NA,"0.15","L","Exceeds 300 ng Hg/g ww","303","1.99","11",NA,2017-10-12
"IDR9-0908","46.66522964","-115.54750711","-1490636.231","1177687.468","West","Western Mountains",NA,"Pacific Northwest Region",NA,"Region_10","RiversOther","Private","Target_Sampled","ID_Rivers_ID_5th+","Base_09River","Include","ID","Target","NonUrban","2","1","291.33768","ID_RiversOther","None","443.61","0.86","7.51","Good","46.2","Good",81,"Fair","33","Good","64.32","1.1128543608813357","O/E>=0.9","Good","-0.570100974","Good","0.498902315","Moderate","0.469709090909091","Good","-0.015165945","Good","85.99","482.286879419912","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","71.5","1.72","9.54",NA,2017-10-12
"MISS-1133","46.68717","-85.16703","829868.3","1073620","Plains and Lowlands","Upper Midwest",NA,"Great Lakes Region",NA,"Region_5","SmallStreams","Private","Target_Sampled","MI_SmallStreams_UMW","Base_NewSmallStreams","Include","MI","Target","NonUrban","1","5607.98548","2803.99274","MI_SmallStreams","None","1084.5","4.99","7.77","Good","113.6","Good",344,"Fair","47","Fair","35.97","1.0732758024171802","O/E>=0.9","Good","-0.332971785","Good","-1.161220588","Low","0","Good","0.0303973009","Good","46.14","651.869313335357","Below Human Health Threshold","<= 10 ug/L","0.15",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","184","1.81","10",NA,2017-10-12
"WIS9-0928","45.49626","-87.98249","625924.8","920542.7","Plains and Lowlands","Upper Midwest",NA,"Great Lakes Region",NA,"Region_5","LargeStreams","Private","Target_Sampled","WI_Streams_WI_4th","Base_09Stream","Include","WI","Target","NonUrban","1","1","708.36276","WI_LargeStreams","None","2637.624","7.7","8.25","Good","263","Good",402,"Good","14.2","Good","70.48","0.96725553914361728","O/E>=0.9","Good","-0.170448837","Good","-0.690897494","Moderate","0.448730769230769","Good","0.1637804364","Good","53.85","582.891179922233","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","44","2","11.1",NA,2017-10-12
"OKS9-0938","34.53126","-94.71442","117073.1","-331626.3","Eastern Highlands","Southern Appalachians","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","LargeStreams","Private","Target_Sampled","OK_Streams_OK_4th","Base_09Stream","Include","OK","Target","NonUrban","1","1","1122.15429","OK_LargeStreams_TF","None","124.07","0.87","7.02","Good","25.7","Good",178,"Fair","24","Good","47.68","0.89324245489920362","O/E<0.9","Good","-0.706938935","Good","1.189179804","Low","0","Good","0.1943881853","Poor","46.81","630.785539568531","Below Human Health Threshold","<= 10 ug/L","0.135",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","264","1.78","9.88",NA,2017-10-12
"WAS9-0920","46.22895","-123.393","-2088447","1278573","West","Western Mountains",NA,"Pacific Northwest Region",NA,"Region_10","LargeStreams","Private","Target_Sampled","WA_Streams_WA_3rd","Base_09Stream","Include","WA","Target","NonUrban","1","1","917.8862","WA_LargeStreams","None","462.71","1.22","7.52","Good","70.7","Poor",299,"Poor","64","Poor","2.38","0.3256757736191544","OE<0.5","Fair","-0.83456681","Poor","-1.765726434","Moderate","0.818204545454545","Good","0.0367921606","Not Assessed",NA,"257.726310855764","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"NERM-1003","40.6786","-99.48502","-292058.4","361567","Plains and Lowlands","Southern Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","RiversMajor","Private","Target_Sampled","NE_RiversMajor_SPL","Base_NewRiversMajor","Include","NE","Target","NonUrban","1","537.64803","158.68743","NE_RiversMajor","None","4256.166","6.05",NA,"Good","1000","Poor",1290,"Good","10","Fair","29.73","0.71840721407483199","O/E<0.8","Good","-0.996069706","Good","-1.937872403","High","1.5","Fair","-0.536582132","Fair","47.29","1000.07593660652","Below Human Health Threshold","<= 10 ug/L","0.205",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"CAS9-0921","41.31835723","-123.05051459","-2216835.816","745498.265","West","Western Mountains",NA,"California Region","West","Region_9","LargeStreams","USFS","Target_Sampled","CA_Streams_CA_3rd","Base_09Stream","Include","CA","Target","NonUrban","1","1","647.63087","CA_LargeStreams","None","532","0.67","7.59","Good","42","Good",55.2,"Good","10.8","Good","80.07","1.1556961370017664","O/E>=0.9","Good","-0.275351825","Good","-0.516810132","Low","0.0303045454545455","Good","0.0627528652","Good","89.34","560.337473887114","Below Human Health Threshold","<= 10 ug/L","0.153",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"KSRS-1268","39.73549","-95.82575","14799.82","250566","Plains and Lowlands","Temporate Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","LargeStreams","Private","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","NonUrban","1","987.90857","262.74164","KS_RiverStream","None","4167.35","3.5","8.34","Good","480","Fair",839,"Poor","187","Good","70.25","0.74923641370443195","O/E<0.8","Good","-0.848268086","Fair","-1.767267298","Moderate","0.863668181818182","Good","-0.129037756","Fair","47.67","300.986054627102","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","272","1.69","9.36",NA,2017-10-12
"OKLS-1181","35.14815","-94.7019","117270.4","-262607.6","Eastern Highlands","Southern Appalachians","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","RiversOther","Private","Target_Sampled","OK_LargeStreams_TF","Base_NewLargeStreams","Include","OK","Target","NonUrban","1","316.56199","97.71085","OK_RiversOther_TF","None","1185.65","4.49","7.62","Good","232","Poor",499,"Poor","70","Fair","36.27","0.62068143296088851","O/E<0.8","Good","-0.821284597","Poor","-0.945021476","Low","0","Good","0.2150243653","Poor","34.77","44.6955296675633","Below Human Health Threshold","<= 10 ug/L","0.13",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","157","2.08","11.5",NA,2017-10-12
"NVRO-1024","40.57471","-116.4405","-1702678","528397.5","West","Xeric",NA,"Great Basin Region",NA,"Region_9","RiversOther","Private","Target_Sampled","NV_RiversOther_XER","Base_NewRiversOther","Include","NV","Target","NonUrban","1","449.65198","27.0243","NV_RiversOther","None","2829.1","2.77","9.04","Good","453","Fair",359,"Fair","79","Poor","37.18","0.51329155705216334","O/E<0.8","Poor","-2","Good","0.351662295","High","1.67427727272727","Fair","-0.55744897","Poor","52.95","283.092335276541","Below Human Health Threshold","<= 10 ug/L","0.168",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"UTR9-0901","37.22372","-109.2087","-1157267","49592.63","West","Xeric",NA,"Upper Colorado Region",NA,"Region_8","RiversMajor","Native American","Target_Sampled","UT_Rivers_UT_7th+","Base_09River_RVT","Include","UT","Target","NonUrban","2","1","161.24319","UT_RiversMajor","None","3281.58","3.02","7.86","Fair","727","Poor",3313,"Poor","1841","Good","57.13","0.77510565258160713","O/E<0.8","Good","-0.483885483","Fair","-0.644214628","High","4.23494545454545","Good","0.0497464685","Good","76.96",NA,"Not Assessed","<= 10 ug/L","0.12",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"MTR9-0920","45.90936","-111.5669","-1203829","1038830","West","Western Mountains","Upper Missouri Region","Missouri Region",NA,"Region_8","RiversOther","Private","Target_Sampled","MT_Rivers_MT_7th+","Base_09River","Include","MT","Target","NonUrban","1","1","166.82395","MT_RiversOther","None","2830.41","3.28","8.45","Good","382","Poor",304,"Fair","40","Good","72.1","0.95133930326987104","O/E>=0.9","Good","-0.668480681","Good","0.59461652","Moderate","1.12123636363636","Poor","-0.884540786","Poor","42.12","1144.83886035085","Below Human Health Threshold","<= 10 ug/L","0.198",NA,NA,NA,"Exceeds 300 ng Hg/g ww","341","1.58","8.77",NA,2017-10-12
"ORR9-0903","44.16795","-122.2497","-2066073","1033429","West","Western Mountains",NA,"Pacific Northwest Region","West","Region_10","RiversOther","USFS","Target_Sampled","OR_Rivers_OR_5th","Base_09River","Include","OR","Target","NonUrban","1","1","116.05445","OR_RiversOther","None","518.13","0.36","7.95","Good","58.4","Good",31,"Poor","106","Good","65.7","1.3161749578884159","O/E>=0.9","Good","-0.279089322","Good","0.429845993","Moderate","1.43182727272727","Good","0.0635209997","Good","85.28","24.1600256682058","Below Human Health Threshold","<= 10 ug/L","0.102",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","28.7","2.45","13.6","H",2017-10-12
"SDR9-0909","44.81715","-103.6939","-606825.2","843160.6","Plains and Lowlands","Northern Plains","Upper Missouri Region","Missouri Region",NA,"Region_8","RiversOther","Private","Target_Sampled","SD_Rivers_SD_5th","Base_09River","Include","SD","Target","NonUrban","1","1","78.00136","SD_RiversOther","None","2906.02","5.43","7.61","Fair","1633","Fair",683,"Poor","108","Poor","30.45","0.9675430454825007","O/E>=0.9","Fair","-1.132907664","Poor","-2.027596257","Moderate","1.1364","Good","-0.536582132","Fair","38.3","114.959730993422","Below Human Health Threshold","<= 10 ug/L","0.167",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"OKS9-0936","35.96545","-96.36807","-32898.13","-171853.6","Plains and Lowlands","Southern Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","LargeStreams","State","Target_Sampled","OK_Streams_OK_4th","Base_09Stream","Include","OK","Target","NonUrban","1","1","192.0244","OK_LargeStreams_FPFH","None","2674.74","6.98","8.16","Good","472","Fair",610,"Good","51","Good","36.82","0.74186613225182751","O/E<0.8","Good","-0.754711716","Good","-1.143551021","Moderate","0.477272727272727","Good","-0.049170648","Fair","43.09","954.553008242612","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Exceeds 300 ng Hg/g ww","377","1.79","9.92",NA,2017-10-12
"COS9-0938","40.62352247","-105.97800852","-835494.221","393944.551","West","Western Mountains","Lower Missouri Region","Missouri Region",NA,"Region_8","SmallStreams","State","Target_Sampled","CO_Streams_CO_1st","Base_09Stream","Include","CO","Target","NonUrban","1","1","1506.92256","CO_SmallStreams","None","444.98","0.51","7.7","Good","64.2","Good",83,"Fair","32","Poor","34.48","1.1521249007927266","O/E>=0.9","Fair","-0.255351475","Good","0.759497221","Moderate","0.6667","Good","0.0470977852","Not Assessed",NA,"73.8734677547447","Below Human Health Threshold","<= 10 ug/L","0.109",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"VTS9-0909","43.90351","-72.82532","1836311","941788.1","Eastern Highlands","Northern Appalachians",NA,"New England Region",NA,"Region_1","LargeStreams","Private","Target_Sampled","VT_Streams_CMMRV_1","Base_09Stream_RVT","Include","VT","Target","NonUrban","2","1","640.75815","VT_RiverStream","None","348.05","0.95","6.96","Good","57.4","Good",320,"Good","13","Good","70.07","1.0202465025173637","O/E>=0.9","Poor","-1.190134333","Good","0.014490458","High","1.50004545454545","Poor","-0.278151927","Good","59.92","390","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"DERO-1001","38.66194","-75.56498","1747967","318893.3","Plains and Lowlands","Coastal Plains",NA,"Mid-Atlantic Region",NA,"Region_3","RiversOther","Private","Target_Sampled","DE_RiversOther_CPL","Base_NewRiversOther","Include","DE","Target","Urban","1","25.99741","10.15984","DE_RiversOther","None","335.3","7.5","7.16","Good","111","Poor",2681,"Fair","94","Poor","32.87","1.0878609214236616","O/E>=0.9","Good","0.0019259208","Good","0.253216714","Moderate","1.000005","Poor","-0.046965543","Poor","39.85","604.504513190489","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Exceeds 300 ng Hg/g ww","339","2.18","12.1",NA,2017-10-12
